Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.25 B,-2.87,-133.45,24.79,,-5.10%,-18.57%,-9.69%,-115.69
12M 2009,0.25 B,-3.75,-110.13,32.09,,-7.72%,-32.03%,-17.83%,-792.85
12M 2010,0.25 B,-7.18,-57.52,26.22,,-15.78%,-158.40%,-16.12%,-1179.27
12M 2011,0.73 B,0.93,425.81,2.63,,0.74%,9.74%,12.13%,1.44
12M 2012,0.73 B,-1.10,-320.00,2.09,,-0.97%,-9.79%,3.41%,0.57
12M 2013,1.09 B,1.07,336.45,4.72,,1.58%,14.07%,4.74%,1.03
12M 2014,1.09 B,1.09,411.01,2.86,,0.43%,1.03%,5.08%,2.10
12M 2015,1.09 B,-1.06,-570.75,3.82,,-0.28%,-1.00%,-0.68%,-0.70
12M 2016,1.09 B,2.62,190.84,3.01,,0.61%,2.42%,6.98%,1.42
12M 2017,1.09 B,9.44,14.72,1.06,,2.46%,8.06%,11.55%,3.54
12M 2018,1.09 B,19.01,5.16,0.54,38.33 B,5.23%,13.94%,18.25%,9.73
12M 2019,1.09 B,22.73,2.99,0.36,41.80 B,6.71%,14.40%,17.21%,37.40
12M 2020,1.09 B,1.98,37.37,0.56,9.25 B,0.58%,1.23%,2.72%,13.75
12M 2021,1.09 B,-2.29,-44.54,0.79,7.74 B,-0.67%,-1.45%,2.20%,11.52
12M 2022,1.09 B,-16.95,-3.54,0.38,0.87 B,-4.97%,-12.00%,-0.64%,-12.22
12M 2023,1.09 B,-1.04,-48.08,0.30,(2.93 B),-0.31%,-0.74%,-2.72%,-17.10
12M 2024,1.09 B,-2.43,-16.46,0.21,,-0.74%,-1.77%,-2.50%,-8.08
